product_ref,sku,name,description,category,category_ref,unit_price,currency,tax_included,image_file,tracks_inventory
ceviche,IST-ceviche,Ceviche de Pescado,"Coronado con encurtido y vegetales, chips de plátano",Entradas,entradas,8.56,USD,True,images/ceviche.jpg,False
nachos_media,IST-nachos_media,Nachos — Media orden,"Queso cheddar, mozzarella, frijol, pico de gallo, sour cream, guacamole, jalapeño",Entradas,entradas,8.56,USD,True,images/nachos_media.jpg,False
nachos_full,IST-nachos_full,Nachos — Orden completa,,Entradas,entradas,14.98,USD,True,images/nachos_full.jpg,False
nachos_extra,IST-nachos_extra,Extras de Nachos (pulled pork o pollo),,Entradas,entradas,4.28,USD,True,images/nachos_extra.jpg,False
aranitas,IST-aranitas,Arañitas Fritas,,Entradas,entradas,12.84,USD,True,images/aranitas.jpg,False
ensalada_istmo,IST-ensalada_istmo,Ensalada Istmo,,Entradas,entradas,8.56,USD,True,images/ensalada_istmo.jpg,False
papas_trufadas,IST-papas_trufadas,Papas Trufadas,,Entradas,entradas,8.56,USD,True,images/papas_trufadas.jpg,False
empanada_pollo,IST-empanada_pollo,Empanada de Pollo (7 uds),,Entradas,entradas,8.56,USD,True,images/empanada_pollo.jpg,False
istmo_wings,IST-istmo_wings,Istmo Wings,"Asadas o apanadas, salsas a elección",Entradas,entradas,13.38,USD,True,images/istmo_wings.jpg,False
chicharrones,IST-chicharrones,Chicharrones,,Entradas,entradas,13.38,USD,True,images/chicharrones.jpg,False
patacon,IST-patacon,Patacón Istmo,,Entradas,entradas,10.7,USD,True,images/patacon.jpg,False
taconhambre,IST-taconhambre,Taconhambre,,Entradas,entradas,9.63,USD,True,images/taconhambre.jpg,False
wrap_pollo,IST-wrap_pollo,Wrap de Pollo,,Platos Fuertes,platos,12.84,USD,True,images/wrap_pollo.jpg,False
wrap_pork,IST-wrap_pork,Wrap de Pulled Pork,,Platos Fuertes,platos,12.84,USD,True,images/wrap_pork.jpg,False
tenders,IST-tenders,Tenders de Pollo,,Platos Fuertes,platos,12.84,USD,True,images/tenders.jpg,False
istmo_burger,IST-istmo_burger,Istmo Burger,"6oz angus, tocino, mozzarella, BBQ",Platos Fuertes,platos,14.98,USD,True,images/istmo_burger.jpg,False
cheddar_bacon,IST-cheddar_bacon,Clásica Cheddar Bacon,,Platos Fuertes,platos,14.98,USD,True,images/cheddar_bacon.jpg,False
pulled_burger,IST-pulled_burger,Pulled Pork Burger,,Platos Fuertes,platos,13.38,USD,True,images/pulled_burger.jpg,False
quesadillas,IST-quesadillas,Quesadillas Istmo,,Platos Fuertes,platos,14.98,USD,True,images/quesadillas.jpg,False
pizza_margarita,IST-pizza_margarita,Pizza Margarita,,Pizzas,pizzas,10.7,USD,True,images/pizza_margarita.jpg,False
pizza_pepperoni,IST-pizza_pepperoni,Pizza Pepperoni,,Pizzas,pizzas,12.84,USD,True,images/pizza_pepperoni.jpg,False
pizza_feta_miel,IST-pizza_feta_miel,Pizza Feta Miel,,Pizzas,pizzas,12.84,USD,True,images/pizza_feta_miel.jpg,False
pizza_vegetales,IST-pizza_vegetales,Pizza Vegetales,,Pizzas,pizzas,10.7,USD,True,images/pizza_vegetales.jpg,False
combo_pizza,IST-combo_pizza,Combo Pizza Personal,"2 pizzas personal + 2 bebidas (limonada, soda, agua o jugo)",Pizzas,pizzas,17.12,USD,True,images/combo_pizza.jpg,False
papas_fritas,IST-papas_fritas,Papas Fritas,,Acompañamientos,acomp,4.28,USD,True,images/papas_fritas.jpg,False
anillos_cebolla,IST-anillos_cebolla,Anillos de Cebolla,,Acompañamientos,acomp,5.35,USD,True,images/anillos_cebolla.jpg,False
papas_casa,IST-papas_casa,Papas de la Casa,,Acompañamientos,acomp,5.35,USD,True,images/papas_casa.jpg,False
mini_cesar,IST-mini_cesar,Mini Ensalada César,,Acompañamientos,acomp,6.42,USD,True,images/mini_cesar.jpg,False
flan,IST-flan,Flan de la Casa,,Postres,postres,5.35,USD,True,images/flan.jpg,False
churristmo,IST-churristmo,Churristmo,Churros con sirope de chocolate y helado de vainilla,Postres,postres,6.96,USD,True,images/churristmo.jpg,False
cerveza_colon,IST-cerveza_colon,Colón Lager,4.1% · IBU 14 · Panameña pura,Cervezas Istmo,cerv_istmo,3.75,USD,True,images/cerveza_colon.jpg,False
cerveza_chiriqui,IST-cerveza_chiriqui,Chiriquí Red Ale,5.6% · IBU 28,Cervezas Istmo,cerv_istmo,3.75,USD,True,images/cerveza_chiriqui.jpg,False
cerveza_cocle,IST-cerveza_cocle,Coclé Caribbean Dunkel Weiss,4.9% · IBU 12,Cervezas Istmo,cerv_istmo,3.75,USD,True,images/cerveza_cocle.jpg,False
cerveza_darien,IST-cerveza_darien,Darién IPA,5.9% · IBU 54,Cervezas Istmo,cerv_istmo,3.75,USD,True,images/cerveza_darien.jpg,False
cerveza_bocas,IST-cerveza_bocas,Bocas Wheat Beer,4.9% · IBU 13,Cervezas Istmo,cerv_istmo,3.75,USD,True,images/cerveza_bocas.jpg,False
coct_margarita,IST-coct_margarita,"Margarita (limón, fresa, maracuyá)",,Cócteles,cocteles,7.49,USD,True,images/coct_margarita.jpg,False
coct_mojito,IST-coct_mojito,"Mojito (limón, maracuyá)",,Cócteles,cocteles,8.56,USD,True,images/coct_mojito.jpg,False
coct_aperol,IST-coct_aperol,Aperol Spritz,,Cócteles,cocteles,8.56,USD,True,images/coct_aperol.jpg,False
coct_caipirinha,IST-coct_caipirinha,Caipirinha,,Cócteles,cocteles,8.56,USD,True,images/coct_caipirinha.jpg,False
coct_cosmo,IST-coct_cosmo,Cosmopolitan,,Cócteles,cocteles,8.56,USD,True,images/coct_cosmo.jpg,False
